Name ML20_Shell[AP]
ShortName ml20_shell[ap]
Description DamageVsLiving 200_DamageVsVehicles 7500_Explosion 4_ExplosionDamageVsLiving 1.52_ExplosionDamageVsPlane 1.52_ExplosionDamageVsVehicle 1.52
Model Bullet
//Colour of icon and model
Colour 255 255 255
ItemID 11603
Icon Cannon_152mm_ML-20_Shell[AP]
//How affected by gravity the bullet is
FallSpeed 0.75
//The maximum stack size
MaxStackSize 8
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 16
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 200
DamageVsVehicles 7500
//Size of explosion caused
Explosion 4
ExplosionDamageVsLiving 1.52
ExplosionDamageVsPlane 1.52
ExplosionDamageVsVehicle 1.52
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 600
FlakParticles 40
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 0.5
HitSound explcls6
HitSoundRange 1000
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
TrailParticleType 
Bomb False
Shell True
