Name LVT(A)-1_Shell[AP]
ShortName lvt(a)-1_shell[ap]
Description DamageVsLiving 200_DamageVsVehicles 1000_Explosion 2_ExplosionDamageVsLiving 1.4_ExplosionDamageVsPlane 1.4_ExplosionDamageVsVehicle 1.4
Model Bullet
//Colour of icon and model
Colour 255 255 255
ItemID 11610
Icon 37mm_Type95Ha-Go_Shell[AP]
//How affected by gravity the bullet is
FallSpeed 0.25
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 8
//The maximum stack size of a stack of these
MaxStackSize 8
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 200
DamageVsVehicles 1000
//Size of explosion caused
Explosion 2
ExplosionDamageVsLiving 1.4
ExplosionDamageVsPlane 1.4
ExplosionDamageVsVehicle 1.4
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 400
FlakParticles 10
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 0.5
HitSound explcls1
HitSoundRange 500
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
TrailParticleType 
//True if this is a bomb
Bomb False
Shell True
