Name PlaneAmmo_Mk.4"MightyMouse"Rocket[HEAT]
ShortName planeammo_mk.4"mightymouse"rocket[heat]
Description DamageVsLiving 100_DamageVsVehicles 1250_DamageVsPlanes 100_Explosion 3_ExplosionDamageVsLiving 1.0_ExplosionDamageVsPlane 10.0_ExplosionDamageVsVehicle 10.0
Model mw.StingerMissile
Texture Stinger
//Colour of icon and model
Colour 255 255 255
ItemID 11711
Icon Mk4Rocket
//How affected by gravity the bullet is
FallSpeed 0.05
//The maximum stack size
MaxStackSize 1
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 14
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 100
DamageVsVehicles 1250
DamageVsPlanes 100
//Size of explosion caused
Explosion 3
ExplosionDamageVsLiving 1.0
ExplosionDamageVsPlane 1.0
ExplosionDamageVsVehicle 10.0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 400
FlakParticles 15
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 0.5
HitSound Exp30mm2
HitSoundRange 1000
HitSoundEnable true
EntityHitSoundEnable true
//WeaponType : One of Missile, Shell, Bomb, Gun, None. Only affects driveable entities
WeaponType Missile
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
TrailParticleType smoke
LockOnToDriveables False
LockOnToPlayers False
LockOnToLivings False
MaxLockOnAngle 0.0
