Name 30mm UOR-84M_Shell[HE]
ShortName 30mm_uor-84_shell[he]
Description DamageVsLiving 50_DamageVsVehicles 75_DamageVsPlanes 70_Explosion 1_ExplosionDamageVsLiving 0.2_ExplosionDamageVsPlayer 0.2_ExplosionDamageVsPlane 2.0_ExplosionDamageVsVehicle 1.0
Model cvts.MGBullet
Texture MGBulletRed
//Colour of icon and model
Colour 255 255 255
ItemID 12123
Icon 3UBR8
//How affected by gravity the bullet is
FallSpeed 0.25
//The maximum stack size
MaxStackSize 1
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 54
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 50
DamageVsVehicles 75
DamageVsPlanes 70
//Size of explosion caused
Explosion 3
ExplosionDamageVsLiving 0.2
ExplosionDamageVsPlayer 0.2
ExplosionDamageVsPlane 2.0
ExplosionDamageVsVehicle 1.0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 400
FlakParticles 5
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 0.5
HitSound Exp30mm3
HitSoundRange 400
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail False
//True if this is a bomb
Bomb False
Shell True
//RecipeOutput 1
//Recipe I iron G gunpowder
//III
//III
//GGG
