Name PSAM_9K34 Strela-3
ShortName psam_strela-3
Description Damage x1.0_PSAM 9K34 Missile[AA]_ShootDelay 60
//The ammo this gun uses (shortName)
Ammo psam_9k34ammo[aa]
Icon 9K34
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 140
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
//Damage in half hearts
Damage 1
IgnoreArmorProbability 0.5
IgnoreArmorDamageFactor 1.0
//The higher this value, the more the bullets spread
Accuracy 0
//Time in ticks between rounds
ShootDelay 60
ShootSound 9K34_fire
ReloadSound PanzerSchreck_reload
Mode SemiAuto
//Bullet speed, default 3.0
BulletSpeed 5.0
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None
//Model settings
Model evp2.9K34
Texture 9K34
ModelScale 1.0
ShowRecoil true
ShowAccuracy true
ShowReloadTime true
//Attachment Settings
AllowAllAttachments false
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments false
//Modifiers
MoveSpeedModifier 0.85
//ActivateSlowInInventoryLevel 1
LockOnToPlanes True
LockOnToVehicle False
LockOnToPlayers False
LockOnToLivings False
LockOnSound Sa8_Lock
LockOnSoundTime 30
CanLockOnAngle 5
MaxRangeLockOn 500
