Name Mp18
ShortName 44C_Mp18
//The ammo this gun uses (shortName)
Ammo 44C_Mp18Ammo
Icon 44C_Mp18
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 53
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Mp40Sniper = 20
//Damage in half hearts
Damage 1
//The higher this value, the more the bullets spread
Accuracy 5
//Time in ticks between rounds
ShootDelay 3
ShootSound Mp40Shoot
ReloadSound Mp40Reload
Mode FullAuto SemiAuto
IgnoreArmorProbability 0.5
IgnoreArmorDamageFactor 1.0
//Modifiers
MoveSpeedModifier 0.9
//Bullet speed, default 3.0
BulletSpeed 9.0
Scope None
Deployable False
DeployedModel None
Model W44C.Mp18
Texture Skin44C_Mp18
ModelScale 0.2
AllowAttachments
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false

//Recoil
Recoil 4
RandomRecoilRange 1.5
RandomRecoilYawRange 1.5
DecreaseRecoil 2.25
DecreaseRecoilYaw 1.0

Description German Sub Machine Gun

ShowAccuracy true
ShowReloadTime true
DistortSound False
ReloadSoundRange 5
GunSoundRange 400

//Server Stuff
GunCategory 2
